,RDP_10398,RDP_5224,RDP_1017,RDP_92,RDP_12
CC11CM1SCR7334fcb69f8c425884f35363fbc61dcd_From_BAJS01000049_3577_5109_description_BAJS01000049_3577_5109_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroides_graminisolvens_DSM_19988_JCM_15093_organism_Bacteroides_graminisolvens_taxonomy_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_ncbitaxid_1121097,1.0,1.0,5.0,3.0,1.0
CC11CM7SCRe8731afec79d4ed29a8e463701d5c9d9_From_AY117684_1_1456_description_AY117684_1_1456_Bacteria_Firmicutes_Bacilli_Lactobacillales_Leuconostocaceae_Leuconostoc_Leuconostoc_inhae_organism_Leuconostoc_inhae_taxonomy_Bacteria_Firmicutes_Bacilli_Lactobacillales_Leuconostocaceae_Leuconostoc_ncbitaxid_178001,13.0,7.0,5.0,3.0,2.0
CC11CM9SCRc51c927c2c364a77b56770387c4c38b1_From_ADMC01000038_27513_29026_description_ADMC01000038_27513_29026_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Odoribacter_Odoribacter_laneus_YIT_12061_organism_Odoribacter_laneus_taxonomy_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Odoribacter_ncbitaxid_742817,3.0,3.0,7.0,9.0,1.0
CC11CM51SCR93f6c0bf833340c99c1d02712a0e8d03_From_JTBE01000011_554165_555717_description_JTBE01000011_554165_555717_Bacteria_Proteobacteria_Gammaproteobacteria_Enterobacteriales_Enterobacteriaceae_Escherichia_Escherichia_coli_organism_Escherichia_coli_taxonomy_Bacteria_Proteobacteria_Gammaproteobacteria_Enterobacteriales_Enterobacteriaceae_Escherichia_ncbitaxid_562,20.0,20.0,19.0,1.0,5.0
CC11CM67SCR20a16740d6414785842ca2416d065d17_From_NR025981_1_description_Butyrivibrio_fibrisolvens_strain_ATCC_19171_16S_ribosomal_RNA_gene_partial_sequence_organism_Butyrivibrio_fibrisolvens_taxonomy_Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Butyrivibrio_ncbitaxid_831,1.0,1.0,11.0,1.0,11.0
CC11CM83SCR3063c12bd4584db88038e003d4a89cef_From_AB200224_1_1490_description_AB200224_1_1490_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroides_coprocola_organism_Bacteroides_coprocola_taxonomy_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_ncbitaxid_310298,1.0,6.0,8.0,6.0,1.0
CC11CM43SCR36761b2c84044c079c0029fb48300ad7_From_CAHI01000040_8_1515_description_CAHI01000040_8_1515_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_Alistipes_senegalensis_JC50_organism_Alistipes_senegalensis_taxonomy_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_ncbitaxid_1033732,1.0,3.0,11.0,6.0,1.0
CC11CM48SCR4b892ba35590442cb8b62a4dd6a5ab21_From_ACBZ01000217_267_1788_description_ACBZ01000217_267_1788_Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia_Blautia_hydrogenotrophica_DSM_10507_organism_Blautia_hydrogenotrophica_taxonomy_Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia_ncbitaxid_476272,3.0,7.0,6.0,1.0,11.0
CC11CM91SCR324bb75c74174348856f23e66d62c352_From_AB542765_1_1491_description_AB542765_1_1491_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroides_propionicifaciens_organism_Bacteroides_propionicifaciens_taxonomy_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_ncbitaxid_392838,1.0,1.0,1.0,2.0,1.0
CC11CM69SCR39bddb90ddae4a49878c383baa0439e7_From_NR041447_1_description_Bacteroides_salanitronis_strain_BL78_16S_ribosomal_RNA_gene_partial_sequence_organism_Bacteroides_salanitronis_taxonomy_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_ncbitaxid_376805,1.0,1.0,8.0,7.0,1.0
CC11CM31SCR6750a93948034cdb87b0d2b671776bdd_From_ABFK02000017_223676_225190_description_ABFK02000017_223676_225190_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_Alistipes_putredinis_DSM_17216_organism_Alistipes_putredinis_taxonomy_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_ncbitaxid_445970,5.0,3.0,11.0,7.0,1.0
CC11CM25SCRc3f8c7f2ce6b48b3b926b7ddf8967efc_From_AB297927_1_1447_description_AB297927_1_1447_Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillus_senmaizukei_organism_Lactobacillus_senmaizukei_taxonomy_Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_ncbitaxid_431273,1.0,1.0,13.0,1.0,1.0
CC11CM14SCR349948c81d814c3db2e02f0a99b7b4d1_From_NR125589_1_description_Alistipes_timonensis_strain_JC136_16S_ribosomal_RNA_gene_partial_sequence_organism_Alistipes_timonensis_JC136_taxonomy_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_ncbitaxid_1033731,1.0,3.0,11.0,6.0,1.0
CC11CM76SCRc0c44828bcd0470baa58ff1c55527b77_From_AQOB01000012_1002_2519_description_AQOB01000012_1002_2519_Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Butyricicoccus_Butyricicoccus_pullicaecorum_1_2_organism_Butyricicoccus_pullicaecorum_taxonomy_Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Butyricicoccus_ncbitaxid_580596,5.0,1.0,3.0,3.0,2.0
CC11CM99SCRc6d140d5668e40bf8fdf7a0bc4a87f3f_From_AQOB01000015_415037_416554_description_AQOB01000015_415037_416554_Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Butyricicoccus_Butyricicoccus_pullicaecorum_1_2_organism_Butyricicoccus_pullicaecorum_taxonomy_Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Butyricicoccus_ncbitaxid_580596,5.0,1.0,3.0,3.0,2.0
CC11CM45SCR8e122f4f777847c6a8b8e94998be1d04_From_NR114889_1_description_Ruminococcus_champanellensis_strain_18P13_16S_ribosomal_RNA_gene_partial_sequence_organism_Ruminococcus_champanellensis_18P13_JCM_17042_taxonomy_Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminococcus_ncbitaxid_213810,3.0,5.0,3.0,3.0,5.0
CC11CM72SCR78ef3a4b31174aab9dd12564d38f6cfe_From_AB793710_1_1451_description_AB793710_1_1451_Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Anaerobacterium_Anaerobacterium_chartisolvens_organism_Anaerobacterium_chartisolvens_taxonomy_Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Anaerobacterium_ncbitaxid_1297424,1.0,1.0,3.0,5.0,11.0
CC11CM15SCR6685efec75fc49bd82e4395ae0336ce8_From_Y18188_1_1489_description_Y18188_1_1489_Bacteria_Firmicutes_Erysipelotrichia_Erysipelotrichales_Erysipelotrichaceae_Erysipelatoclostridium_Clostridium_cocleatum_organism_Erysipelatoclostridium_taxonomy_Bacteria_Firmicutes_Erysipelotrichia_Erysipelotrichales_Erysipelotrichaceae_Erysipelatoclostridium_ncbitaxid_1505663,3.0,1.0,3.0,13.0,3.0
CC11CM53SCRc88b510d3e6148a3b012bbf53d223fd1_From_JX294873_1_1407_description_JX294873_1_1407_Bacteria_Proteobacteria_Gammaproteobacteria_Enterobacteriales_Enterobacteriaceae_Citrobacter_Citrobacter_gillenii_organism_Citrobacter_gillenii_taxonomy_Bacteria_Proteobacteria_Gammaproteobacteria_Enterobacteriales_Enterobacteriaceae_Citrobacter_ncbitaxid_67828,20.0,20.0,16.0,1.0,5.0
CC11CM88SCRaf25108aa0594a3ea30ff058f1005eb2_From_ARCH01000026_139_1676_description_ARCH01000026_139_1676_Bacteria_Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus_Streptococcus_ovis_DSM_16829_organism_Streptococcus_ovis_taxonomy_Bacteria_Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus_ncbitaxid_1123312,1.0,5.0,1.0,3.0,1.0
CC11CM60SCR49f3b9da40d84d3a9500ab72f40373a4_From_NR074634_1_description_Eubacterium_rectale_strain_ATCC_33656_16S_ribosomal_RNA_gene_complete_sequence_organism_Agathobacter_rectalis_ATCC_33656_taxonomy_Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Agathobacter_ncbitaxid_515619,5.0,5.0,10.0,1.0,8.0
CC11CM8SCR2ce7a711a9654b1c8250f450d93ff11b_From_NR114316_1_description_Bacteroides_reticulotermitis_strain_JCM_10512_16S_ribosomal_RNA_gene_partial_sequence_organism_Bacteroides_reticulotermitis_JCM_10512_taxonomy_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_ncbitaxid_1445607,1.0,11.0,1.0,7.0,1.0
CC11CM62SCR8c0c113f41d64e99853cd926a44a9a36_From_NR028829_1_description_Acholeplasma_axanthum_strain_S_743_16S_ribosomal_RNA_gene_partial_sequence_organism_Acholeplasma_axanthum_taxonomy_Bacteria_Tenericutes_Mollicutes_Acholeplasmatales_Acholeplasmataceae_Acholeplasma_ncbitaxid_29552,1.0,3.0,5.0,4.0,5.0
CC11CM31SCRb772d4e7d86549c28f3976c2a0471342_From_JGYV01000004_18610_19972_description_JGYV01000004_18610_19972_Bacteria_Actinobacteria_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium_Bifidobacterium_cuniculi_organism_Bifidobacterium_cuniculi_taxonomy_Bacteria_Actinobacteria_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium_ncbitaxid_1688,3.0,1.0,4.0,9.0,3.0
CC11CM86SCR11609a98ede149eaa15e8cbd88fd9efe_From_NR104940_1_description_Escherichia_hermannii_strain_CIP_103176_16S_ribosomal_RNA_partial_sequence_organism_Escherichia_hermannii_taxonomy_Bacteria_Proteobacteria_Gammaproteobacteria_Enterobacteriales_Enterobacteriaceae_Escherichia_ncbitaxid_565,20.0,20.0,8.0,1.0,5.0
CC11CM7SCR5bde64dae3f34b9baabcdccdae3734f9_From_X72867_1_1547_description_X72867_1_1547_Bacteria_Firmicutes_Negativicutes_Selenomonadales_Acidaminococcaceae_Phascolarctobacterium_Phascolarctobacterium_faecium_organism_Phascolarctobacterium_faecium_taxonomy_Bacteria_Firmicutes_Negativicutes_Selenomonadales_Acidaminococcaceae_Phascolarctobacterium_ncbitaxid_33025,5.0,4.0,1.0,20.0,7.0
CC11CM59SCR3d40475a466640389729a4f5068c178e_From_NR104846_1_description_Gemmiger_formicilis_strain_X2_56_16S_ribosomal_RNA_gene_partial_sequence_organism_Gemmiger_formicilis_taxonomy_Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Gemmiger_ncbitaxid_745368,1.0,1.0,1.0,1.0,10.0
CC11CM85SCR700cd438ff244d208bb17a02790d145c_From_NR074634_1_description_Eubacterium_rectale_strain_ATCC_33656_16S_ribosomal_RNA_gene_complete_sequence_organism_Agathobacter_rectalis_ATCC_33656_taxonomy_Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Agathobacter_ncbitaxid_515619,5.0,5.0,10.0,1.0,8.0
CC11CM27SCRa4b63737dbae4d26911903a691ae0086_From_BAJK01000111_3667_5173_description_BAJK01000111_3667_5173_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroides_gallinarum_DSM_18171_JCM_13658_organism_Bacteroides_gallinarum_taxonomy_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_ncbitaxid_1121096,1.0,3.0,4.0,3.0,1.0
CC11CM81SCR82ebd8b70fb24dd2b24d665179f4cecc_From_AY879306_1_1517_description_AY879306_1_1517_Bacteria_Firmicutes_Bacilli_Lactobacillales_Aerococcaceae_Abiotrophia_Abiotrophia_defectiva_organism_Abiotrophia_defectiva_taxonomy_Bacteria_Firmicutes_Bacilli_Lactobacillales_Aerococcaceae_Abiotrophia_ncbitaxid_46125,20.0,20.0,18.0,3.0,1.0
CC11CM55SCR6ffc64ce09114ffc99b34410e8157a3f_From_AY271254_1_1433_description_AY271254_1_1433_Bacteria_Verrucomicrobia_Verrucomicrobiae_Verrucomicrobiales_Verrucomicrobiaceae_Akkermansia_Akkermansia_muciniphila_organism_Akkermansia_muciniphila_taxonomy_Bacteria_Verrucomicrobia_Verrucomicrobiae_Verrucomicrobiales_Verrucomicrobiaceae_Akkermansia_ncbitaxid_239935,1.0,1.0,7.0,20.0,15.0
CC11CM8SCRf6ed3c1a9c0544e99982646bf7ffa612_From_NR112895_1_description_Bacteroides_oleiciplenus_strain_YIT_12058_16S_ribosomal_RNA_gene_partial_sequence_organism_Bacteroides_oleiciplenus_YIT_12058_taxonomy_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_ncbitaxid_742727,3.0,4.0,3.0,3.0,1.0
CC11CM26SCR2814de5d4d324b50ac0e923a8131bb31_From_NR028883_1_description_Dorea_longicatena_strain_111_35_16S_ribosomal_RNA_gene_partial_sequence_organism_Dorea_longicatena_taxonomy_Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Dorea_ncbitaxid_88431,1.0,1.0,1.0,1.0,11.0
CC11CM15SCR514d9cbf17804b1a9fc7c2ed90ea3b1e_From_JF514887_1_1258_description_JF514887_1_1258_Bacteria_Firmicutes_Clostridia_Clostridiales_Christensenellaceae_Catabacter_Catabacter_hongkongensis_organism_Catabacter_hongkongensis_taxonomy_Bacteria_Firmicutes_Clostridia_Clostridiales_Christensenellaceae_Catabacter_ncbitaxid_270498,3.0,20.0,3.0,7.0,4.0
CC11CM62SCR2f95e2a0c58f4da0a222db9c9824220f_From_AB599947_1_1407_description_AB599947_1_1407_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroides_intestinalis_organism_Bacteroides_intestinalis_taxonomy_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_ncbitaxid_329854,2.0,4.0,3.0,3.0,1.0
CC11CM65SCR2eefd679700b40b786ae2644f51fabb2_From_NR074634_1_description_Eubacterium_rectale_strain_ATCC_33656_16S_ribosomal_RNA_gene_complete_sequence_organism_Agathobacter_rectalis_ATCC_33656_taxonomy_Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Agathobacter_ncbitaxid_515619,5.0,5.0,10.0,1.0,8.0
CC11CM7SCRf60f5aca42cf49f7a1f8a11ac2eb10c4_From_NR025981_1_description_Butyrivibrio_fibrisolvens_strain_ATCC_19171_16S_ribosomal_RNA_gene_partial_sequence_organism_Butyrivibrio_fibrisolvens_taxonomy_Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Butyrivibrio_ncbitaxid_831,1.0,1.0,11.0,1.0,11.0
CC11CM63SCR4e4d77fd8e934effb79fce1d6e46b235_From_NR113323_1_description_Clostridium_bifermentans_strain_JCM_1386_16S_ribosomal_RNA_gene_partial_sequence_organism_Clostridium_bifermentans_taxonomy_Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Peptoclostridium_ncbitaxid_1490,5.0,3.0,11.0,10.0,5.0
CC11CM15SCR9a6004aad81f45af89b0393bb0e6ac86_From_GU470887_1_1507_description_GU470887_1_1507_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Alloprevotella_Alloprevotella_rava_organism_Alloprevotella_rava_taxonomy_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Alloprevotella_ncbitaxid_671218,3.0,3.0,1.0,1.0,7.0
CC11CM51SCRfb22c432e5cf4aceb1b31b0769a38915_From_NR133689_1_description_Aestuariispira_insulae_strain_AH_MY2_16S_ribosomal_RNA_partial_sequence_organism_Aestuariispira_insulae_taxonomy_Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Rhodospirillaceae_Aestuariispira_ncbitaxid_1461337,1.0,1.0,12.0,5.0,7.0
CC11CM95SCRe4829071c20c4fe4b8c0fbca0ba62ee2_From_NR113140_1_description_Clostridium_sordellii_strain_JCM_3814_16S_ribosomal_RNA_gene_partial_sequence_organism_Clostridium_sordellii_taxonomy_Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Peptoclostridium_ncbitaxid_1505,1.0,7.0,10.0,10.0,9.0
CC11CM48SCRdf266d63ad1e4c61b11db0d1e8d39c40_From_HQ457028_1_1424_description_HQ457028_1_1424_Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Faecalibacterium_Faecalibacterium_prausnitzii_organism_Faecalibacterium_prausnitzii_taxonomy_Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Faecalibacterium_ncbitaxid_853,1.0,1.0,1.0,1.0,5.0
CC11CM70SCR0bc13552dc474998bbff7827f5d29654_From_LC010692_1_1492_description_LC010692_1_1492_Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia_Blautia_luti_organism_Blautia_luti_taxonomy_Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia_ncbitaxid_89014,4.0,8.0,5.0,1.0,9.0
CC11CM42SCR54fcaa308bdd401a9f8f97fd0d57f87f_From_JN703378_1_1490_description_JN703378_1_1490_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Coprobacter_Coprobacter_fastidiosus_organism_Coprobacter_fastidiosus_taxonomy_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Coprobacter_ncbitaxid_1099853,1.0,7.0,5.0,5.0,1.0
CC11CM94SCR7716e7e90d424e3988a90a649d225f93_From_AB558168_1_1473_description_AB558168_1_1473_Bacteria_Actinobacteria_Coriobacteriia_Coriobacteriales_Coriobacteriaceae_Atopobium_Atopobium_parvulum_organism_Atopobium_parvulum_taxonomy_Bacteria_Actinobacteria_Coriobacteriia_Coriobacteriales_Coriobacteriaceae_Atopobium_ncbitaxid_1382,4.0,3.0,3.0,1.0,2.0
CC11CM65SCR3950fbd43c5444db88e7766ee944f265_From_NR028915_1_description_Anaerostipes_caccae_strain_L1_92_16S_ribosomal_RNA_gene_partial_sequence_organism_Anaerostipes_caccae_taxonomy_Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Anaerostipes_ncbitaxid_105841,1.0,1.0,2.0,3.0,11.0
CC11CM50SCR44feecd63e06493f88bee58e7d7c21b9_From_NR117154_1_description_Clostridium_thermoalcaliphilum_strain_DSM_7309_16S_ribosomal_RNA_gene_partial_sequence_organism_Clostridium_thermoalcaliphilum_taxonomy_Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Peptoclostridium_ncbitaxid_29349,3.0,3.0,7.0,13.0,5.0
CC11CM97SCR953c13dca84445979500747e09cc1041_From_KC589349_1_1328_description_KC589349_1_1328_Bacteria_Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus_Streptococcus_cristatus_organism_Streptococcus_cristatus_taxonomy_Bacteria_Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus_ncbitaxid_45634,12.0,15.0,5.0,3.0,4.0
CC11CM72SCR1508ce3063b74ba7b9f741dc71b62786_From_NR133762_1_description_Hungatella_effluvii_strain_UB_B_2_16S_ribosomal_RNA_partial_sequence_organism_Hungatella_effluvii_taxonomy_Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Hungatella_ncbitaxid_1096246,1.0,1.0,6.0,1.0,11.0
CC11CM82SCR4456eab632ab437a8a33e78b6e3cfc78_From_NR041313_1_description_Bacteroides_finegoldii_strain_199_16S_ribosomal_RNA_gene_partial_sequence_organism_Bacteroides_finegoldii_taxonomy_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_ncbitaxid_338188,8.0,5.0,1.0,3.0,1.0
CC11CM25SCR1bb6d054ca4c40189db5f262add1e73f_From_ADMP01000058_91_1599_description_ADMP01000058_91_1599_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroides_xylanisolvens_SD_CC_2a_organism_Bacteroides_xylanisolvens_taxonomy_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_ncbitaxid_702444,3.0,2.0,1.0,7.0,1.0
CC11CM83SCR35afd1485c0746648c56c5e3f646b90a_From_FJ489243_1_1478_description_FJ489243_1_1478_Bacteria_Firmicutes_Negativicutes_Selenomonadales_Veillonellaceae_Megamonas_Megamonas_hypermegale_organism_Megamonas_hypermegale_taxonomy_Bacteria_Firmicutes_Negativicutes_Selenomonadales_Veillonellaceae_Megamonas_ncbitaxid_158847,3.0,1.0,3.0,16.0,13.0
CC11CM88SCR3560878d3833498482ee84de905e509b_From_JHXW01000023_46_1540_description_JHXW01000023_46_1540_Bacteria_Fusobacteria_Fusobacteriia_Fusobacteriales_Fusobacteriaceae_Fusobacterium_Fusobacterium_perfoetens_ATCC_29250_organism_Fusobacterium_perfoetens_taxonomy_Bacteria_Fusobacteria_Fusobacteriia_Fusobacteriales_Fusobacteriaceae_Fusobacterium_ncbitaxid_1408439,5.0,7.0,1.0,20.0,16.0
CC11CM3SCRe3fde22c29354720ad248d677f9e367d_From_AJ585206_1_1357_description_AJ585206_1_1357_Bacteria_Actinobacteria_Coriobacteriia_Coriobacteriales_Coriobacteriaceae_Atopobium_Atopobium_vaginae_organism_Atopobium_vaginae_taxonomy_Bacteria_Actinobacteria_Coriobacteriia_Coriobacteriales_Coriobacteriaceae_Atopobium_ncbitaxid_82135,7.0,3.0,3.0,1.0,12.0
