,rank,tax_id,tax_name,colind,CC11CM7,CC11CM15,CC11CM49,CC11CM87,CC11CM64,CC11CM85,CC11CM97,CC11CM80,CC11CM24,CC11CM41,CC11CM67,CC11CM6,CC11CM90,CC11CM18,CC11CM4,CC11CM13,CC11CM14,CC11CM51,CC11CM65,CC11CM74,CC11CM45,CC11CM50,CC11CM34,CC11CM84,CC11CM27,CC11CM78,CC11CM32,CC11CM81,CC11CM20,CC11CM75,CC11CM12,CC11CM28,CC11CM30,CC11CM68,CC11CM66,CC11CM58,CC11CM61,CC11CM22,CC11CM95,CC11CM17,CC11CM70,CC11CM86,CC11CM88,CC11CM54,CC11CM60,CC11CM16,CC11CM48,CC11CM35,CC11CM91,CC11CM1,CC11CM99,CC11CM72,CC11CM79,CC11CM94,CC11CM82,CC11CM93,CC11CM39,CC11CM0,CC11CM76,CC11CM69,CC11CM2,CC11CM57,CC11CM63,CC11CM62,CC11CM44,CC11CM37,CC11CM33,CC11CM53,CC11CM9,CC11CM23,CC11CM55,CC11CM42,CC11CM59,CC11CM73,CC11CM38,CC11CM25,CC11CM46,CC11CM5,CC11CM83,CC11CM11,CC11CM36,CC11CM26,CC11CM43,CC11CM8,CC11CM19,CC11CM3,CC11CM98,CC11CM77,CC11CM89,CC11CM10,CC11CM71,CC11CM21,CC11CM92,CC11CM29,CC11CM56,CC11CM52,CC11CM96,CC11CM47,CC11CM31,CC11CM40
58,genus,342658,Gracilibacter,NR_113408.1,14.0,,286.0,,,,361.0,,,187.0,,355.0,,,,,,,,101.0,,,,133.0,,,,,,,,,,392.0,263.0,,,439.0,,,,271.0,,,,123.0,,,,,,723.0,28.0,195.0,,,,,,,,,,,199.0,,,429.0,,,,,,,,90.0,,,16.0,,,,313.0,,,377.0,458.0,280.0,104.0,,474.0,,,,,,339.0,12.0,,
59,genus,551,Erwinia,NR_114080.1,3517.0,,61.0,58.0,,,,,,,,,,,,,,394.0,,2235.0,,,,,,,,34.0,1505.0,2927.0,,,,,,,,7.0,,,,25.0,48.0,,,,1239.0,1721.0,305.0,,,,,,,,,,,,,,,3997.0,,,1631.0,,,,,,,,1049.0,805.0,,,7.0,3075.0,,,,44.0,459.0,,4.0,,,442.0,,,,,,,,,4451.0,
60,order,768507,Cytophagales,NR_118219.1,1393.0,,,,,,,,,,,,,,,,,,,,,,,,,,1605.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1585.0,,,1777.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,genus,872,Desulfovibrio,NR_118865.1,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,family,186817,Bacillaceae,NR_119286.1,176.0,,,,193.0,,552.0,,,298.0,167.0,,,,,,,,,,,,,,,,,,88.0,,,,,,,,,,331.0,,265.0,442.0,,,386.0,,,,,,,30.0,,,,,,384.0,,,,,,,121.0,,,,294.0,,,,,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,
63,class,28211,Alphaproteobacteria,NR_133689.1,884.0,1460.0,,,,2400.0,,1593.0,864.0,,,1529.0,2672.0,391.0,916.0,2864.0,,3628.0,1121.0,,,,,1166.0,,,25.0,,83.0,2284.0,877.0,1293.0,2406.0,,3954.0,33.0,2459.0,1273.0,1198.0,82.0,,,755.0,,,1870.0,,23.0,6379.0,,822.0,,1718.0,,,3463.0,,,6025.0,494.0,296.0,1082.0,1793.0,2564.0,,,,2382.0,1208.0,402.0,,1179.0,243.0,,,,900.0,,,113.0,,687.0,507.0,,,144.0,523.0,2034.0,,806.0,,37.0,1003.0,,1445.0,,,1684.0,,
64,order,186802,Clostridiales,NR_133762.1,12.0,4.0,,20.0,,,7.0,1.0,2.0,4.0,,,,4.0,,,,13.0,,,,3.0,12.0,1.0,,1.0,2.0,7.0,,1.0,,,8.0,2.0,4.0,,,1.0,,9.0,,,,6.0,21.0,,6.0,11.0,6.0,,,9.0,,,,4.0,,4.0,11.0,7.0,16.0,13.0,1.0,5.0,,6.0,8.0,4.0,1.0,2.0,6.0,,11.0,,,,,,4.0,5.0,,,,6.0,,,1.0,,10.0,,2.0,3.0,,3.0,2.0,2.0,8.0,13.0,,1.0
65,class,91061,Bacilli,X72867.1.1547,290.0,659.0,419.0,,489.0,332.0,,112.0,968.0,,,,500.0,,,,31.0,,789.0,,299.0,1122.0,,,,,,,,,,1107.0,,,331.0,,,154.0,,,,,880.0,644.0,41.0,490.0,,,810.0,,,,471.0,976.0,,,,,,670.0,,,,,,422.0,,,,566.0,,,,,,199.0,282.0,,,,547.0,,594.0,,,,,,,,,,,,362.0,183.0,,,613.0,
66,order,1385,Bacillales,X82500.1.1504,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,genus,816,Bacteroides,AB050110.1.1425,,718.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,order,171549,Bacteroidales,AB260025.1.1492,,812.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,607.0,,,,,,,,,,,,,,,,,,,,,,,,
69,order,85006,Micrococcales,AB437350.1.1505,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,order,186802,Clostridiales,AB600998.1.1493,,488.0,,,,,,,,39.0,,,,,,,,,,,,,,,,,,,,678.0,,,479.0,1143.0,,,,,,,,,,,,,2367.0,,,2464.0,,,,,,,,,,,1015.0,,,,,,,,,,,,,1997.0,,,851.0,,,,,,,,,,860.0,,,,,,,,608.0,,,,,
71,order,186802,Clostridiales,AB679109.1.1520,,42.0,,,,,,,,,,66.0,,,,,,,,,509.0,,,,,,,,,224.0,,,,,,,,,,,,117.0,,,,,144.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,phylum,1239,Firmicutes,AB691575.1.1488,,2.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,genus,342658,Gracilibacter,AB793710.1.1451,,45.0,,,47.0,,,,10.0,,,,28.0,59.0,,,39.0,,37.0,,,83.0,,,74.0,88.0,22.0,51.0,,28.0,9.0,3.0,66.0,,,,,63.0,,45.0,,145.0,56.0,,,5.0,76.0,116.0,81.0,75.0,49.0,36.0,49.0,,83.0,73.0,40.0,46.0,,16.0,239.0,140.0,36.0,26.0,73.0,,73.0,,20.0,54.0,,94.0,19.0,,64.0,37.0,96.0,,71.0,50.0,44.0,,,18.0,15.0,16.0,,,114.0,41.0,30.0,,,,,19.0,,2.0,,
74,order,186802,Clostridiales,ACBZ01000217.267.1788,,2031.0,,,,,,39.0,,,,,,,,,,,905.0,,,,,,,1208.0,,,,,,,2485.0,,,,,,,,,,,,,,456.0,,1788.0,,,,,,,,,,,3084.0,,,,,2455.0,,,,,,,950.0,,,661.0,3075.0,,3094.0,24.0,886.0,1103.0,,167.0,1046.0,,,689.0,,,,,513.0,1261.0,,2814.0,,,,,2572.0
